"","harvestDate","harvester","biosampleNumber","rnaDate","rnaPreparer","rnaSampleNumber","rnaPrepMethod","roboticRNAPrep","RIBOSOMAL_BAND","RIBOSOMAL_BAND_SHAPE","SMALL_RNA_BANDS","RIN"
"146","09.10.19","J.PLAGGENBERG",4,"09.11.19","J.PLAGGENBERG",12,"DirectZol","no","Y","straight","Y","NA"
"147","09.10.19","J.PLAGGENBERG",5,"09.11.19","J.PLAGGENBERG",13,"DirectZol","no","Y","straight","Y","NA"
"148","09.10.19","J.PLAGGENBERG",6,"09.11.19","J.PLAGGENBERG",14,"DirectZol","no","Y","straight","Y","NA"
"149","09.10.19","J.PLAGGENBERG",7,"09.11.19","J.PLAGGENBERG",15,"DirectZol","no","Y","straight","Y","NA"
"150","09.10.19","J.PLAGGENBERG",8,"09.11.19","J.PLAGGENBERG",16,"DirectZol","no","Y","straight","Y","NA"
"151","10.10.19","J.PLAGGENBERG",1,"10.11.19","A.BOODRAM",1,"DirectZol","no","Y","straight","Y","NA"
"152","10.10.19","J.PLAGGENBERG",2,"10.11.19","A.BOODRAM",2,"DirectZol","no",NA,NA,NA,"NA"
"153","10.10.19","J.PLAGGENBERG",3,"10.11.19","A.BOODRAM",3,"DirectZol","no",NA,NA,NA,"NA"
"154","10.10.19","J.PLAGGENBERG",4,"10.11.19","A.BOODRAM",4,"DirectZol","no",NA,NA,NA,"NA"
"155","10.10.19","J.PLAGGENBERG",5,"10.11.19","A.BOODRAM",5,"DirectZol","no",NA,NA,NA,"NA"
"156","10.10.19","J.PLAGGENBERG",6,"10.11.19","A.BOODRAM",6,"DirectZol","no",NA,NA,NA,"NA"
"157","10.10.19","J.PLAGGENBERG",7,"10.11.19","A.BOODRAM",7,"DirectZol","no",NA,NA,NA,"NA"
"158","10.10.19","J.PLAGGENBERG",8,"10.11.19","A.BOODRAM",8,"DirectZol","no",NA,NA,NA,"NA"
"159","10.10.19","J.PLAGGENBERG",9,"10.11.19","A.BOODRAM",9,"DirectZol","no",NA,NA,NA,"NA"
"160","10.10.19","J.PLAGGENBERG",10,"10.11.19","A.BOODRAM",10,"DirectZol","no",NA,NA,NA,"NA"
"161","10.10.19","J.PLAGGENBERG",11,"10.11.19","A.BOODRAM",11,"DirectZol","no",NA,NA,NA,"NA"
"162","10.10.19","J.PLAGGENBERG",12,"10.11.19","A.BOODRAM",12,"DirectZol","no",NA,NA,NA,"NA"
