"","rnaDate","rnaPreparer","rnaSampleNumber","s1cDNADate","s1cDNAPreparer","s1cDNASampleNumber","polyAIsolationProtocol","s1Protocol","roboticS1Prep","s1PrimerSeq"
"78","06.21.19","J.PLAGGENBERG",6,"06.26.19","J.PLAGGENBERG",6,"NEBNextPoly(A)E7490","E7760","No","random"
"79","06.21.19","J.PLAGGENBERG",7,"06.26.19","H.BROWN",25,"NEBNextPoly(A)E7490","E7760","No","random"
"80","06.21.19","J.PLAGGENBERG",8,"06.26.19","H.BROWN",26,"NEBNextPoly(A)E7490","E7760","No","random"
"81","06.21.19","J.PLAGGENBERG",9,"06.26.19","H.BROWN",27,"NEBNextPoly(A)E7490","E7760","No","random"
"82","06.21.19","J.PLAGGENBERG",10,"06.26.19","H.BROWN",28,"NEBNextPoly(A)E7490","E7760","No","random"
"83","06.21.19","J.PLAGGENBERG",11,"06.26.19","H.BROWN",29,"NEBNextPoly(A)E7490","E7760","No","random"
"84","06.21.19","J.PLAGGENBERG",12,"06.26.19","H.BROWN",30,"NEBNextPoly(A)E7490","E7760","No","random"
"85","06.24.19","J.PLAGGENBERG",13,"06.26.19","J.PLAGGENBERG",7,"NEBNextPoly(A)E7490","E7760","No","random"
"86","06.24.19","J.PLAGGENBERG",14,"06.26.19","J.PLAGGENBERG",8,"NEBNextPoly(A)E7490","E7760","No","random"
"87","06.24.19","J.PLAGGENBERG",15,"06.26.19","J.PLAGGENBERG",9,"NEBNextPoly(A)E7490","E7760","No","random"
"88","06.24.19","J.PLAGGENBERG",16,"06.26.19","J.PLAGGENBERG",10,"NEBNextPoly(A)E7490","E7760","No","random"
"89","06.24.19","J.PLAGGENBERG",17,"06.26.19","J.PLAGGENBERG",11,"NEBNextPoly(A)E7490","E7760","No","random"
"90","06.24.19","J.PLAGGENBERG",18,"06.26.19","J.PLAGGENBERG",12,"NEBNextPoly(A)E7490","E7760","No","random"
"91","06.24.19","J.PLAGGENBERG",19,"06.26.19","H.BROWN",31,"NEBNextPoly(A)E7490","E7760","No","random"
"92","06.24.19","J.PLAGGENBERG",20,"06.26.19","H.BROWN",32,"NEBNextPoly(A)E7490","E7760","No","random"
"93","06.24.19","J.PLAGGENBERG",21,"06.26.19","H.BROWN",33,"NEBNextPoly(A)E7490","E7760","No","random"
"94","06.24.19","J.PLAGGENBERG",22,"06.26.19","H.BROWN",34,"NEBNextPoly(A)E7490","E7760","No","random"
"95","06.24.19","J.PLAGGENBERG",23,"06.26.19","H.BROWN",35,"NEBNextPoly(A)E7490","E7760","No","random"
"96","06.24.19","J.PLAGGENBERG",24,"06.26.19","H.BROWN",36,"NEBNextPoly(A)E7490","E7760","No","random"
